code,excess_mort,gdp_per_capita,median_age,continent
NOR,1242.1536756094383,67296.15625,39.43600082397461,Europe
NZL,1.4919351774131278,45185.3125,37.06800079345703,Oceania
OMN,861.7289339645878,35336.89453125,28.972999572753903,Asia
PAN,1724.418501493905,33266.4765625,29.27300071716309,North America
PER,5901.343252566944,12743.9423828125,29.09600067138672,South America
PHL,2286.0032574511984,8581.9375,24.86599922180176,Asia
POL,4089.090256513858,37706.60546875,40.86399841308594,Europe
PRI,3236.37450424173,34297.93359375,45.196998596191406,North America
PRT,2880.7115913553953,35767.72265625,45.805999755859375,Europe
PRY,4442.393085045975,13531.396484375,26.045000076293945,South America
PSE,922.937191133866,5722.4091796875,19.604999542236328,Asia
QAT,568.6204498537603,96557.8125,32.45800018310547,Asia
ROU,5299.698779554334,32495.908203125,42.39099884033203,Europe
RUS,8836.558186193872,27450.44921875,39.07099914550781,Europe
SGP,1183.3625344012503,108036.109375,34.87799835205078,Asia
SLV,753.0907869298146,9396.013671875,26.510000228881836,North America
SMR,4318.897449233022,61609.01171875,46.78200149536133,Europe
SRB,8200.16785851991,20885.888671875,43.67499923706055,Europe
SUR,3481.617853352289,15047.6142578125,27.864999771118164,South America
SVK,5108.239505538473,33176.18359375,40.90399932861328,Europe
SVN,2717.9089856544897,41015.2265625,43.49700164794922,Europe
SWE,1473.0559825025464,55359.34375,39.72800064086914,Europe
SYC,-588.8253355178589,25205.736328125,33.38800048828125,Africa
THA,2338.3149145286825,17507.62109375,39.194000244140625,Asia
TJK,1471.0340659148874,4137.27783203125,21.742000579833984,Asia
TUN,2208.9824976320865,10569.05078125,31.743999481201172,Africa
TUR,3259.275331819081,33149.5,32.071998596191406,Asia
UKR,4533.105629282935,10731.4404296875,41.45100021362305,Europe
URY,2161.3120208618648,24426.66015625,35.49599838256836,South America
USA,3794.609928108511,64623.125,37.720001220703125,North America
UZB,1440.407347944602,8073.21044921875,26.836000442504883,Asia
VCT,1232.5091633459424,14572.607421875,33.632999420166016,North America
ZAF,4833.10989530559,13478.75390625,27.91900062561035,Africa
